usageKey,scientificName,canonicalName,authorship,rank,code,status,genericName,infragenericEpithet,specificEpithet,type,formattedName,matchType,confidence,domain,kingdom,phylum,subphylum,class,order,suborder,family,subfamily,tribe,subtribe,genus,subgenus,species,domainKey,kingdomKey,phylumKey,subphylumKey,classKey,orderKey,suborderKey,familyKey,subfamilyKey,tribeKey,subtribeKey,genusKey,subgenusKey,speciesKey,value,easin_scientificName,easin_kingdom,easin_EASINID,easin_checklistKey,is_alternative,subclass,infraclass,subterclass,superorder,infraorder,superfamily,subclassKey,infraclassKey,subterclassKey,superorderKey,infraorderKey,superfamilyKey,subkingdom,subkingdomKey,infraspecificEpithet,variety,varietyKey,acceptedUsageKey,acceptedScientificName,infraphylum,parvphylum,gigaclass,superclass,infraphylumKey,parvphylumKey,gigaclassKey,superclassKey,megaclass,megaclassKey,section_botany,section_botanyKey,note,subspecies,subspeciesKey,processingFlags,series_zoology,series_zoologyKey,infrakingdom,infrakingdomKey,section_zoology,subsection_zoology,section_zoologyKey,subsection_zoologyKey,unranked,realm,unrankedKey,realmKey,parvorder,parvorderKey,epifamily,epifamilyKey,supertribe,supertribeKey,nanorder,nanorderKey,form,formKey,easin_Name,easin_Authorship,easin_FirstIntroductionsInEU,easin_PresentInCountries,easin_Status,easin_HasImpact,easin_IsEUConcern,easin_EUConcernName,easin_IsOutermostConcern,easin_ConcernedOutermostRegions,easin_IsMSConcern,easin_ConcernedMS,easin_IsPartNative,easin_NativeRange,easin_IsHorizonScanning,easin_LastRevisionDate,easin_Phylum,easin_Class,easin_Order,easin_Family,easin_ImpactSources,easin_ImpactOnSectors,easin_CommonNames,easin_Synonyms,easin_CBD_Pathways
8JLD,"Abax (Abax) parallelus (Duftschmid, 1812)",Abax parallelus,"(Duftschmid, 1812)",SPECIES,ZOOLOGICAL,ACCEPTED,Abax,Abax,parallelus,SCIENTIFIC,"<i>Abax</i> (<i>Abax</i>) <i>parallelus</i> (Duftschmid, 1812)",EXACT,100,Eukaryota,Animalia,Arthropoda,Hexapoda,Insecta,Coleoptera,Adephaga,Carabidae,Pterostichinae,Pterostichini,Pterostichina,Abax,Abax,Abax parallelus,CS5HF,N,RT,L2655,H6,C2L,DDH7R,8KTL7,8KTR3,8KTXF,8LTCB,8KTTB,8LTN6,8JLD,FALSE,"Abax parallelus (Duftschmid, 1812)",Animalia,R00001,7ddf754f-d193-4cc9-b351-99906754a03b,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abax parallelus,"(Duftschmid, 1812)",,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Arthropoda,Insecta,Coleoptera,Carabidae,,,,,
8K9F,"Abida polyodon (Draparnaud, 1801)",Abida polyodon,"(Draparnaud, 1801)",SPECIES,ZOOLOGICAL,ACCEPTED,Abida,,polyodon,SCIENTIFIC,"<i>Abida</i> <i>polyodon</i> (Draparnaud, 1801)",EXACT,100,Eukaryota,Animalia,Mollusca,,Gastropoda,,,Chondrinidae,Chondrininae,,,Abida,,Abida polyodon,CS5HF,N,M2L,,7NF3Y,,,7NGR4,7NXJC,,,7NMDV,,8K9F,FALSE,"Abida polyodon (Draparnaud, 1801)",Animalia,R19170,7ddf754f-d193-4cc9-b351-99906754a03b,FALSE,Heterobranchia,Euthyneura,Tectipleura,Eupulmonata,Pupilloidei,Chondrinoidea,7NVXJ,CFV7Q,7VBDS,7NVXY,7NW2G,7NW3L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abida polyodon,"(Draparnaud, 1801)",,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Mollusca,Gastropoda,Stylommatophora,Chondrinidae,,,,,
8K9Y,Abies alba Mill.,Abies alba,Mill.,SPECIES,BOTANICAL,ACCEPTED,Abies,,alba,SCIENTIFIC,<i>Abies</i> <i>alba</i> Mill.,EXACT,100,Eukaryota,Plantae,Tracheophyta,,Pinopsida,Pinales,,Pinaceae,,,,Abies,,Abies alba,CS5HF,P,TP,,C7ZVJ,C7ZVH,,C7ZVG,,,,C66T4,,8K9Y,FALSE,Abies alba Mill.,Plantae,R00005,7ddf754f-d193-4cc9-b351-99906754a03b,FALSE,Pinidae,,,,,,C84L5,,,,,,Pteridobiotina,CMQ8S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abies alba,Mill.,,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Tracheophyta,Pinopsida,Pinales,Pinaceae,,,,,
63Z6Q,Abies balsamea (L.) Mill.,Abies balsamea,(L.) Mill.,SPECIES,BOTANICAL,ACCEPTED,Abies,,balsamea,SCIENTIFIC,<i>Abies</i> <i>balsamea</i> (L.) Mill.,EXACT,100,Eukaryota,Plantae,Tracheophyta,,Pinopsida,Pinales,,Pinaceae,,,,Abies,,Abies balsamea,CS5HF,P,TP,,C7ZVJ,C7ZVH,,C7ZVG,,,,C66T4,,63Z6Q,FALSE,Abies balsamea (L.) Mill.,Plantae,R00006,7ddf754f-d193-4cc9-b351-99906754a03b,FALSE,Pinidae,,,,,,C84L5,,,,,,Pteridobiotina,CMQ8S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abies balsamea,(L.) Mill.,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Tracheophyta,Pinopsida,Pinales,Pinaceae,,,,,
7L7JZ,Abies balsamea var. phanerolepis Fernald,Abies balsamea phanerolepis,Fernald,VARIETY,BOTANICAL,ACCEPTED,Abies,,balsamea,SCIENTIFIC,<i>Abies</i> <i>balsamea</i> var. <i>phanerolepis</i> Fernald,EXACT,100,Eukaryota,Plantae,Tracheophyta,,Pinopsida,Pinales,,Pinaceae,,,,Abies,,Abies balsamea,CS5HF,P,TP,,C7ZVJ,C7ZVH,,C7ZVG,,,,C66T4,,63Z6Q,FALSE,Abies balsamea var. phanerolepis Fernald,Plantae,R18689,7ddf754f-d193-4cc9-b351-99906754a03b,FALSE,Pinidae,,,,,,C84L5,,,,,,Pteridobiotina,CMQ8S,phanerolepis,Abies balsamea phanerolepis,7L7JZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abies balsamea var. phanerolepis,Fernald,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Tracheophyta,Pinopsida,Pinales,Pinaceae,,,,,
8KB8,Abies cephalonica Loudon,Abies cephalonica,Loudon,SPECIES,BOTANICAL,ACCEPTED,Abies,,cephalonica,SCIENTIFIC,<i>Abies</i> <i>cephalonica</i> Loudon,EXACT,100,Eukaryota,Plantae,Tracheophyta,,Pinopsida,Pinales,,Pinaceae,,,,Abies,,Abies cephalonica,CS5HF,P,TP,,C7ZVJ,C7ZVH,,C7ZVG,,,,C66T4,,8KB8,FALSE,Abies cephalonica Loudon,Plantae,R00007,7ddf754f-d193-4cc9-b351-99906754a03b,FALSE,Pinidae,,,,,,C84L5,,,,,,Pteridobiotina,CMQ8S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abies cephalonica,Loudon,,,A,FALSE,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,Tracheophyta,Pinopsida,Pinales,Pinaceae,,,,,
8KBM,Abies concolor (Gordon) Lindl. ex Hildebr.,Abies concolor,(Gordon) Lindl. ex Hildebr.,SPECIES,BOTANICAL,ACCEPTED,Abies,,concolor,SCIENTIFIC,<i>Abies</i> <i>concolor</i> (Gordon) Lindl. ex Hildebr.,EXACT,100,Eukaryota,Plantae,Tracheophyta,,Pinopsida,Pinales,,Pinaceae,,,,Abies,,Abies concolor,CS5HF,P,TP,,C7ZVJ,C7ZVH,,C7ZVG,,,,C66T4,,8KBM,FALSE,Abies concolor (Gordon) Lindl. ex Hildebr.,Plantae,R00008,7ddf754f-d193-4cc9-b351-99906754a03b,FALSE,Pinidae,,,,,,C84L5,,,,,,Pteridobiotina,CMQ8S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abies concolor,(Gordon) Lindl. ex Hildebr.,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Tracheophyta,Pinopsida,Pinales,Pinaceae,,,,,
8KCQ,Abies fraseri (Pursh) Poir.,Abies fraseri,(Pursh) Poir.,SPECIES,BOTANICAL,ACCEPTED,Abies,,fraseri,SCIENTIFIC,<i>Abies</i> <i>fraseri</i> (Pursh) Poir.,EXACT,100,Eukaryota,Plantae,Tracheophyta,,Pinopsida,Pinales,,Pinaceae,,,,Abies,,Abies fraseri,CS5HF,P,TP,,C7ZVJ,C7ZVH,,C7ZVG,,,,C66T4,,8KCQ,FALSE,Abies fraseri (Pursh) Poir.,Plantae,R00010,7ddf754f-d193-4cc9-b351-99906754a03b,FALSE,Pinidae,,,,,,C84L5,,,,,,Pteridobiotina,CMQ8S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abies fraseri,(Pursh) Poir.,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Tracheophyta,Pinopsida,Pinales,Pinaceae,,,,,
8KCY,Abies grandis (Douglas ex D.Don) Lindl.,Abies grandis,(Douglas ex D.Don) Lindl.,SPECIES,BOTANICAL,ACCEPTED,Abies,,grandis,SCIENTIFIC,<i>Abies</i> <i>grandis</i> (Douglas ex D.Don) Lindl.,EXACT,100,Eukaryota,Plantae,Tracheophyta,,Pinopsida,Pinales,,Pinaceae,,,,Abies,,Abies grandis,CS5HF,P,TP,,C7ZVJ,C7ZVH,,C7ZVG,,,,C66T4,,8KCY,FALSE,Abies grandis (Douglas ex D.Don) Lindl.,Plantae,R00011,7ddf754f-d193-4cc9-b351-99906754a03b,FALSE,Pinidae,,,,,,C84L5,,,,,,Pteridobiotina,CMQ8S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abies grandis,(Douglas ex D.Don) Lindl.,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Tracheophyta,Pinopsida,Pinales,Pinaceae,,,,,
8KDY,Abies lasiocarpa Lindl. & Gordon,Abies lasiocarpa,Lindl. & Gordon,SPECIES,BOTANICAL,SYNONYM,Abies,,lasiocarpa,SCIENTIFIC,<i>Abies</i> <i>lasiocarpa</i> Lindl. & Gordon,EXACT,100,Eukaryota,Plantae,Tracheophyta,,Pinopsida,Pinales,,Pinaceae,,,,Abies,,Abies grandis,CS5HF,P,TP,,C7ZVJ,C7ZVH,,C7ZVG,,,,C66T4,,8KCY,TRUE,Abies lasiocarpa Lindl. & Gordon,Plantae,R00012,7ddf754f-d193-4cc9-b351-99906754a03b,FALSE,Pinidae,,,,,,C84L5,,,,,,Pteridobiotina,CMQ8S,,,,8KCY,Abies grandis (Douglas ex D.Don) Lindl.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abies lasiocarpa,Lindl. & Gordon,,,A,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,Tracheophyta,Pinopsida,Pinales,Pinaceae,,,,,
